Jan. 16, 2025   14:51:07
Cyclic Voltammetry
0.718, 1.719e-4
0.717, 1.679e-4
0.716, 1.638e-4
0.715, 1.598e-4
0.714, 1.558e-4
0.713, 1.519e-4
0.712, 1.479e-4
0.711, 1.440e-4
0.710, 1.401e-4
0.709, 1.362e-4
0.708, 1.324e-4
0.707, 1.285e-4
0.706, 1.247e-4
0.705, 1.209e-4
0.704, 1.171e-4
0.703, 1.133e-4
0.702, 1.096e-4
0.701, 1.058e-4
0.700, 1.021e-4
0.699, 9.840e-5
0.698, 9.472e-5
0.697, 9.106e-5
0.696, 8.741e-5
0.695, 8.378e-5
0.694, 8.015e-5
0.693, 7.654e-5
0.692, 7.293e-5
0.691, 6.933e-5
0.690, 6.576e-5
0.689, 6.223e-5
0.688, 5.871e-5
0.687, 5.522e-5
0.686, 5.174e-5
0.685, 4.827e-5
0.684, 4.482e-5
0.683, 4.140e-5
0.682, 3.801e-5
0.681, 3.464e-5
0.680, 3.129e-5
0.679, 2.795e-5
0.678, 2.460e-5
0.677, 2.127e-5
0.676, 1.795e-5
0.675, 1.465e-5
0.674, 1.137e-5
0.673, 8.104e-6
0.672, 4.846e-6
0.671, 1.594e-6
0.670, -1.648e-6
0.669, -4.884e-6
0.668, -8.109e-6
0.667, -1.131e-5
0.666, -1.449e-5
0.665, -1.764e-5
0.664, -2.076e-5
0.663, -2.388e-5
0.662, -2.697e-5
0.661, -3.005e-5
0.660, -3.312e-5
0.659, -3.617e-5
0.658, -3.921e-5
0.657, -4.225e-5
0.656, -4.527e-5
0.655, -4.828e-5
0.654, -5.127e-5
0.653, -5.424e-5
0.652, -5.719e-5
0.651, -6.013e-5
0.650, -6.305e-5
0.649, -6.595e-5
0.648, -6.883e-5
0.647, -7.171e-5
0.646, -7.457e-5
0.645, -7.742e-5
0.644, -8.027e-5
0.643, -8.310e-5
0.642, -8.593e-5
0.641, -8.875e-5
0.640, -9.154e-5
0.639, -9.431e-5
0.638, -9.705e-5
0.637, -9.977e-5
0.636, -1.025e-4
0.635, -1.052e-4
0.634, -1.079e-4
0.633, -1.105e-4
0.632, -1.132e-4
0.631, -1.158e-4
0.630, -1.185e-4
0.629, -1.210e-4
0.628, -1.236e-4
0.627, -1.262e-4
0.626, -1.287e-4
0.625, -1.313e-4
0.624, -1.338e-4
0.623, -1.364e-4
0.622, -1.389e-4
0.621, -1.414e-4
0.620, -1.439e-4
0.619, -1.464e-4
0.618, -1.488e-4
0.617, -1.513e-4
0.616, -1.537e-4
0.615, -1.562e-4
0.614, -1.586e-4
0.613, -1.610e-4
0.612, -1.635e-4
0.611, -1.659e-4
0.610, -1.683e-4
0.609, -1.706e-4
0.608, -1.730e-4
0.607, -1.753e-4
0.606, -1.776e-4
0.605, -1.799e-4
0.604, -1.822e-4
0.603, -1.845e-4
0.602, -1.867e-4
0.601, -1.890e-4
0.600, -1.912e-4
0.599, -1.934e-4
0.598, -1.957e-4
0.597, -1.979e-4
0.596, -2.001e-4
0.595, -2.023e-4
0.594, -2.045e-4
0.593, -2.066e-4
0.592, -2.088e-4
0.591, -2.109e-4
0.590, -2.130e-4
0.589, -2.151e-4
0.588, -2.173e-4
0.587, -2.193e-4
0.586, -2.214e-4
0.585, -2.235e-4
0.584, -2.255e-4
0.583, -2.276e-4
0.582, -2.296e-4
0.581, -2.316e-4
0.580, -2.336e-4
0.579, -2.356e-4
0.578, -2.376e-4
0.577, -2.396e-4
0.576, -2.416e-4
0.575, -2.436e-4
0.574, -2.455e-4
0.573, -2.475e-4
0.572, -2.494e-4
0.571, -2.513e-4
0.570, -2.532e-4
0.569, -2.551e-4
0.568, -2.570e-4
0.567, -2.589e-4
0.566, -2.607e-4
0.565, -2.626e-4
0.564, -2.644e-4
0.563, -2.662e-4
0.562, -2.680e-4
0.561, -2.699e-4
0.560, -2.717e-4
0.559, -2.734e-4
0.558, -2.752e-4
0.557, -2.770e-4
0.556, -2.787e-4
0.555, -2.804e-4
0.554, -2.821e-4
0.553, -2.838e-4
0.552, -2.856e-4
0.551, -2.873e-4
0.550, -2.890e-4
0.549, -2.907e-4
0.548, -2.924e-4
0.547, -2.940e-4
0.546, -2.957e-4
0.545, -2.973e-4
0.544, -2.990e-4
0.543, -3.006e-4
0.542, -3.022e-4
0.541, -3.038e-4
0.540, -3.055e-4
0.539, -3.070e-4
0.538, -3.086e-4
0.537, -3.102e-4
0.536, -3.118e-4
0.535, -3.134e-4
0.534, -3.149e-4
0.533, -3.165e-4
0.532, -3.180e-4
0.531, -3.196e-4
0.530, -3.211e-4
0.529, -3.227e-4
0.528, -3.242e-4
0.527, -3.257e-4
0.526, -3.272e-4
0.525, -3.287e-4
0.524, -3.301e-4
0.523, -3.316e-4
0.522, -3.330e-4
0.521, -3.345e-4
0.520, -3.359e-4
0.519, -3.373e-4
0.518, -3.388e-4
0.517, -3.402e-4
0.516, -3.416e-4
0.515, -3.430e-4
0.514, -3.444e-4
0.513, -3.457e-4
0.512, -3.471e-4
0.511, -3.485e-4
0.510, -3.499e-4
0.509, -3.512e-4
0.508, -3.526e-4
0.507, -3.539e-4
0.506, -3.553e-4
0.505, -3.566e-4
0.504, -3.579e-4
0.503, -3.592e-4
0.502, -3.605e-4
0.501, -3.618e-4
0.500, -3.631e-4
0.499, -3.644e-4
0.498, -3.656e-4
0.497, -3.669e-4
0.496, -3.681e-4
0.495, -3.694e-4
0.494, -3.706e-4
0.493, -3.719e-4
0.492, -3.731e-4
0.491, -3.743e-4
0.490, -3.755e-4
0.489, -3.767e-4
0.488, -3.779e-4
0.487, -3.790e-4
0.486, -3.802e-4
0.485, -3.814e-4
0.484, -3.826e-4
0.483, -3.837e-4
0.482, -3.848e-4
0.481, -3.860e-4
0.480, -3.871e-4
0.479, -3.883e-4
0.478, -3.894e-4
0.477, -3.905e-4
0.476, -3.916e-4
0.475, -3.927e-4
0.474, -3.938e-4
0.473, -3.949e-4
0.472, -3.960e-4
0.471, -3.971e-4
0.470, -3.981e-4
0.469, -3.992e-4
0.468, -4.003e-4
0.467, -4.014e-4
0.466, -4.024e-4
0.465, -4.035e-4
0.464, -4.045e-4
0.463, -4.055e-4
0.462, -4.065e-4
0.461, -4.075e-4
0.460, -4.085e-4
0.459, -4.096e-4
0.458, -4.105e-4
0.457, -4.115e-4
0.456, -4.125e-4
0.455, -4.135e-4
0.454, -4.144e-4
0.453, -4.154e-4
0.452, -4.164e-4
0.451, -4.173e-4
0.450, -4.182e-4
0.449, -4.192e-4
0.448, -4.201e-4
0.447, -4.210e-4
0.446, -4.219e-4
0.445, -4.229e-4
0.444, -4.238e-4
0.443, -4.247e-4
0.442, -4.255e-4
0.441, -4.264e-4
0.440, -4.273e-4
0.439, -4.282e-4
0.438, -4.291e-4
0.437, -4.299e-4
0.436, -4.308e-4
0.435, -4.317e-4
0.434, -4.325e-4
0.433, -4.333e-4
0.432, -4.342e-4
0.431, -4.350e-4
0.430, -4.359e-4
0.429, -4.367e-4
0.428, -4.374e-4
0.427, -4.382e-4
0.426, -4.390e-4
0.425, -4.398e-4
0.424, -4.406e-4
0.423, -4.414e-4
0.422, -4.421e-4
0.421, -4.429e-4
0.420, -4.437e-4
0.419, -4.445e-4
0.418, -4.452e-4
0.417, -4.460e-4
0.416, -4.467e-4
0.415, -4.475e-4
0.414, -4.482e-4
0.413, -4.490e-4
0.412, -4.497e-4
0.411, -4.504e-4
0.410, -4.512e-4
0.409, -4.520e-4
0.408, -4.527e-4
0.407, -4.534e-4
0.406, -4.541e-4
0.405, -4.548e-4
0.404, -4.555e-4
0.403, -4.562e-4
0.402, -4.569e-4
0.401, -4.576e-4
0.400, -4.582e-4
0.399, -4.589e-4
0.398, -4.595e-4
0.397, -4.602e-4
0.396, -4.609e-4
0.395, -4.615e-4
0.394, -4.622e-4
0.393, -4.628e-4
0.392, -4.634e-4
0.391, -4.641e-4
0.390, -4.647e-4
0.389, -4.653e-4
0.388, -4.659e-4
0.387, -4.665e-4
0.386, -4.671e-4
0.385, -4.678e-4
0.384, -4.684e-4
0.383, -4.690e-4
0.382, -4.696e-4
0.381, -4.702e-4
0.380, -4.708e-4
0.379, -4.713e-4
0.378, -4.719e-4
0.377, -4.725e-4
0.376, -4.730e-4
0.375, -4.736e-4
0.374, -4.742e-4
0.373, -4.747e-4
0.372, -4.753e-4
0.371, -4.758e-4
0.370, -4.764e-4
0.369, -4.769e-4
0.368, -4.775e-4
0.367, -4.781e-4
0.366, -4.786e-4
0.365, -4.792e-4
0.364, -4.797e-4
0.363, -4.802e-4
0.362, -4.807e-4
0.361, -4.812e-4
0.360, -4.818e-4
0.359, -4.823e-4
0.358, -4.828e-4
0.357, -4.833e-4
0.356, -4.838e-4
0.355, -4.843e-4
0.354, -4.848e-4
0.353, -4.853e-4
0.352, -4.858e-4
0.351, -4.863e-4
0.350, -4.868e-4
0.349, -4.872e-4
0.348, -4.877e-4
0.347, -4.882e-4
0.346, -4.887e-4
0.345, -4.892e-4
0.344, -4.896e-4
0.343, -4.901e-4
0.342, -4.905e-4
0.341, -4.910e-4
0.340, -4.915e-4
0.339, -4.919e-4
0.338, -4.924e-4
0.337, -4.928e-4
0.336, -4.933e-4
0.335, -4.937e-4
0.334, -4.941e-4
0.333, -4.946e-4
0.332, -4.950e-4
0.331, -4.955e-4
0.330, -4.959e-4
0.329, -4.963e-4
0.328, -4.968e-4
0.327, -4.972e-4
0.326, -4.976e-4
0.325, -4.981e-4
0.324, -4.985e-4
0.323, -4.989e-4
0.322, -4.993e-4
0.321, -4.998e-4
0.320, -5.002e-4
0.319, -5.006e-4
0.318, -5.010e-4
0.317, -5.014e-4
0.316, -5.018e-4
0.315, -5.023e-4
0.314, -5.027e-4
0.313, -5.031e-4
0.312, -5.035e-4
0.311, -5.039e-4
0.310, -5.043e-4
0.309, -5.047e-4
0.308, -5.051e-4
0.307, -5.055e-4
0.306, -5.060e-4
0.305, -5.064e-4
0.304, -5.068e-4
0.303, -5.072e-4
0.302, -5.076e-4
0.301, -5.080e-4
0.300, -5.084e-4
0.299, -5.088e-4
0.298, -5.092e-4
0.297, -5.096e-4
0.296, -5.100e-4
0.295, -5.104e-4
0.294, -5.108e-4
0.293, -5.112e-4
0.292, -5.116e-4
0.291, -5.120e-4
0.290, -5.124e-4
0.289, -5.128e-4
0.288, -5.132e-4
0.287, -5.136e-4
0.286, -5.140e-4
0.285, -5.143e-4
0.284, -5.147e-4
0.283, -5.151e-4
0.282, -5.155e-4
0.281, -5.159e-4
0.280, -5.163e-4
0.279, -5.167e-4
0.278, -5.171e-4
0.277, -5.175e-4
0.276, -5.179e-4
0.275, -5.183e-4
0.274, -5.187e-4
0.273, -5.191e-4
0.272, -5.195e-4
0.271, -5.199e-4
0.270, -5.203e-4
0.269, -5.207e-4
0.268, -5.211e-4
0.267, -5.215e-4
0.266, -5.219e-4
0.265, -5.223e-4
0.264, -5.227e-4
0.263, -5.231e-4
0.262, -5.235e-4
0.261, -5.239e-4
0.260, -5.243e-4
0.259, -5.247e-4
0.258, -5.251e-4
0.257, -5.255e-4
0.256, -5.259e-4
0.255, -5.264e-4
0.254, -5.268e-4
0.253, -5.272e-4
0.252, -5.276e-4
0.251, -5.280e-4
0.250, -5.284e-4
0.249, -5.289e-4
0.248, -5.293e-4
0.247, -5.297e-4
0.246, -5.301e-4
0.245, -5.305e-4
0.244, -5.309e-4
0.243, -5.313e-4
0.242, -5.317e-4
0.241, -5.322e-4
0.240, -5.326e-4
0.239, -5.330e-4
0.238, -5.334e-4
0.237, -5.338e-4
0.236, -5.343e-4
0.235, -5.347e-4
0.234, -5.351e-4
0.233, -5.355e-4
0.232, -5.360e-4
0.231, -5.364e-4
0.230, -5.368e-4
0.229, -5.373e-4
0.228, -5.377e-4
0.227, -5.381e-4
0.226, -5.385e-4
0.225, -5.390e-4
0.224, -5.394e-4
0.223, -5.399e-4
0.222, -5.403e-4
0.221, -5.407e-4
0.220, -5.412e-4
0.219, -5.416e-4
0.218, -5.421e-4
0.217, -5.425e-4
0.216, -5.430e-4
0.215, -5.434e-4
0.214, -5.438e-4
0.213, -5.443e-4
0.212, -5.447e-4
0.211, -5.452e-4
0.210, -5.457e-4
0.209, -5.461e-4
0.208, -5.466e-4
0.207, -5.470e-4
0.206, -5.475e-4
0.205, -5.480e-4
0.204, -5.484e-4
0.203, -5.489e-4
0.202, -5.494e-4
0.201, -5.498e-4
0.200, -5.503e-4
0.199, -5.508e-4
0.198, -5.512e-4
0.197, -5.517e-4
0.196, -5.522e-4
0.195, -5.527e-4
0.194, -5.531e-4
0.193, -5.536e-4
0.192, -5.541e-4
0.191, -5.546e-4
0.190, -5.551e-4
0.189, -5.555e-4
0.188, -5.560e-4
0.187, -5.565e-4
0.186, -5.570e-4
0.185, -5.575e-4
0.184, -5.580e-4
0.183, -5.585e-4
0.182, -5.590e-4
0.181, -5.595e-4
0.180, -5.600e-4
0.179, -5.605e-4
0.178, -5.610e-4
0.177, -5.615e-4
0.176, -5.620e-4
0.175, -5.624e-4
0.174, -5.629e-4
0.173, -5.634e-4
0.172, -5.639e-4
0.171, -5.644e-4
0.170, -5.649e-4
0.169, -5.654e-4
0.168, -5.659e-4
0.167, -5.664e-4
0.166, -5.670e-4
0.165, -5.675e-4
0.164, -5.680e-4
0.163, -5.685e-4
0.162, -5.690e-4
0.161, -5.695e-4
0.160, -5.700e-4
0.159, -5.705e-4
0.158, -5.710e-4
0.157, -5.715e-4
0.156, -5.720e-4
0.155, -5.726e-4
0.154, -5.731e-4
0.153, -5.736e-4
0.152, -5.741e-4
0.151, -5.747e-4
0.150, -5.752e-4
0.149, -5.757e-4
0.148, -5.762e-4
0.147, -5.767e-4
0.146, -5.773e-4
0.145, -5.778e-4
0.144, -5.783e-4
0.143, -5.788e-4
0.142, -5.793e-4
0.141, -5.799e-4
0.140, -5.804e-4
0.139, -5.809e-4
0.138, -5.815e-4
0.137, -5.820e-4
0.136, -5.825e-4
0.135, -5.830e-4
0.134, -5.836e-4
0.133, -5.841e-4
0.132, -5.846e-4
0.131, -5.852e-4
0.130, -5.857e-4
0.129, -5.862e-4
0.128, -5.868e-4
0.127, -5.873e-4
0.126, -5.878e-4
0.125, -5.884e-4
0.124, -5.889e-4
0.123, -5.895e-4
0.122, -5.900e-4
0.121, -5.905e-4
0.120, -5.911e-4
0.119, -5.916e-4
0.118, -5.921e-4
0.117, -5.927e-4
0.116, -5.932e-4
0.115, -5.937e-4
0.114, -5.942e-4
0.113, -5.947e-4
0.112, -5.953e-4
0.111, -5.958e-4
0.110, -5.963e-4
0.109, -5.969e-4
0.108, -5.974e-4
0.107, -5.979e-4
0.106, -5.985e-4
0.105, -5.990e-4
0.104, -5.996e-4
0.103, -6.001e-4
0.102, -6.007e-4
0.101, -6.013e-4
0.100, -6.018e-4
0.099, -6.024e-4
0.098, -6.029e-4
0.097, -6.035e-4
0.096, -6.040e-4
0.095, -6.046e-4
0.094, -6.051e-4
0.093, -6.057e-4
0.092, -6.062e-4
0.091, -6.067e-4
0.090, -6.073e-4
0.089, -6.078e-4
0.088, -6.084e-4
0.087, -6.089e-4
0.086, -6.094e-4
0.085, -6.100e-4
0.084, -6.105e-4
0.083, -6.111e-4
0.082, -6.116e-4
0.081, -6.122e-4
0.080, -6.127e-4
0.079, -6.133e-4
0.078, -6.138e-4
0.077, -6.143e-4
0.076, -6.149e-4
0.075, -6.154e-4
0.074, -6.159e-4
0.073, -6.165e-4
0.072, -6.170e-4
0.071, -6.176e-4
0.070, -6.181e-4
0.069, -6.186e-4
0.068, -6.192e-4
0.067, -6.197e-4
0.066, -6.202e-4
0.065, -6.208e-4
0.064, -6.213e-4
0.063, -6.218e-4
0.062, -6.224e-4
0.061, -6.229e-4
0.060, -6.234e-4
0.059, -6.240e-4
0.058, -6.245e-4
0.057, -6.250e-4
0.056, -6.256e-4
0.055, -6.261e-4
0.054, -6.266e-4
0.053, -6.271e-4
0.052, -6.277e-4
0.051, -6.282e-4
0.050, -6.287e-4
0.049, -6.293e-4
0.048, -6.298e-4
0.047, -6.303e-4
0.046, -6.308e-4
0.045, -6.313e-4
0.044, -6.319e-4
0.043, -6.324e-4
0.042, -6.329e-4
0.041, -6.334e-4
0.040, -6.339e-4
0.039, -6.344e-4
0.038, -6.350e-4
0.037, -6.355e-4
0.036, -6.360e-4
0.035, -6.365e-4
0.034, -6.371e-4
0.033, -6.376e-4
0.032, -6.381e-4
0.031, -6.386e-4
0.030, -6.391e-4
0.029, -6.396e-4
0.028, -6.400e-4
0.027, -6.405e-4
0.026, -6.410e-4
0.025, -6.415e-4
0.024, -6.420e-4
0.023, -6.425e-4
0.022, -6.430e-4
0.021, -6.435e-4
0.020, -6.440e-4
0.019, -6.445e-4
0.018, -6.449e-4
0.017, -6.454e-4
0.016, -6.459e-4
0.015, -6.464e-4
0.014, -6.468e-4
0.013, -6.473e-4
0.012, -6.478e-4
0.011, -6.482e-4
0.010, -6.487e-4
0.009, -6.491e-4
0.008, -6.496e-4
0.007, -6.501e-4
0.006, -6.505e-4
0.005, -6.510e-4
0.004, -6.514e-4
0.003, -6.519e-4
0.002, -6.523e-4
0.001, -6.528e-4
0.000, -6.533e-4
-0.001, -6.538e-4
-0.002, -6.543e-4
-0.003, -6.547e-4
-0.004, -6.551e-4
-0.005, -6.555e-4
-0.006, -6.560e-4
-0.007, -6.564e-4
-0.008, -6.568e-4
-0.009, -6.572e-4
-0.010, -6.577e-4
-0.011, -6.581e-4
-0.012, -6.585e-4
-0.013, -6.589e-4
-0.014, -6.593e-4
-0.015, -6.597e-4
-0.016, -6.601e-4
-0.017, -6.605e-4
-0.018, -6.609e-4
-0.019, -6.613e-4
-0.020, -6.617e-4
-0.021, -6.621e-4
-0.022, -6.625e-4
-0.023, -6.628e-4
-0.024, -6.632e-4
-0.025, -6.636e-4
-0.026, -6.640e-4
-0.027, -6.643e-4
-0.028, -6.647e-4
-0.029, -6.651e-4
-0.030, -6.655e-4
-0.031, -6.658e-4
-0.032, -6.662e-4
-0.033, -6.666e-4
-0.034, -6.669e-4
-0.035, -6.672e-4
-0.036, -6.676e-4
-0.037, -6.679e-4
-0.038, -6.683e-4
-0.039, -6.686e-4
-0.040, -6.690e-4
-0.041, -6.693e-4
-0.042, -6.696e-4
-0.043, -6.700e-4
-0.044, -6.703e-4
-0.045, -6.706e-4
-0.046, -6.710e-4
-0.047, -6.713e-4
-0.048, -6.716e-4
-0.049, -6.719e-4
-0.050, -6.723e-4
-0.051, -6.726e-4
-0.052, -6.729e-4
-0.053, -6.733e-4
-0.054, -6.736e-4
-0.055, -6.739e-4
-0.056, -6.742e-4
-0.057, -6.745e-4
-0.058, -6.748e-4
-0.059, -6.751e-4
-0.060, -6.755e-4
-0.061, -6.758e-4
-0.062, -6.760e-4
-0.063, -6.763e-4
-0.064, -6.766e-4
-0.065, -6.769e-4
-0.066, -6.772e-4
-0.067, -6.775e-4
-0.068, -6.778e-4
-0.069, -6.782e-4
-0.070, -6.785e-4
-0.071, -6.787e-4
-0.072, -6.790e-4
-0.073, -6.793e-4
-0.074, -6.796e-4
-0.075, -6.799e-4
-0.076, -6.802e-4
-0.077, -6.805e-4
-0.078, -6.808e-4
-0.079, -6.811e-4
-0.080, -6.813e-4
-0.081, -6.816e-4
-0.082, -6.819e-4
-0.083, -6.822e-4
-0.084, -6.825e-4
-0.085, -6.828e-4
-0.086, -6.831e-4
-0.087, -6.834e-4
-0.088, -6.837e-4
-0.089, -6.839e-4
-0.090, -6.842e-4
-0.091, -6.845e-4
-0.092, -6.848e-4
-0.093, -6.851e-4
-0.094, -6.854e-4
-0.095, -6.857e-4
-0.096, -6.859e-4
-0.097, -6.862e-4
-0.098, -6.865e-4
-0.099, -6.868e-4
-0.100, -6.871e-4
-0.101, -6.873e-4
-0.102, -6.876e-4
-0.103, -6.879e-4
-0.104, -6.882e-4
-0.105, -6.885e-4
-0.106, -6.888e-4
-0.107, -6.891e-4
-0.108, -6.894e-4
-0.109, -6.896e-4
-0.110, -6.899e-4
-0.111, -6.902e-4
-0.112, -6.905e-4
-0.113, -6.907e-4
-0.114, -6.910e-4
-0.115, -6.912e-4
-0.116, -6.915e-4
-0.117, -6.918e-4
-0.118, -6.920e-4
-0.119, -6.923e-4
-0.120, -6.925e-4
-0.121, -6.928e-4
-0.122, -6.931e-4
-0.123, -6.933e-4
-0.124, -6.936e-4
-0.125, -6.938e-4
-0.126, -6.940e-4
-0.127, -6.943e-4
-0.128, -6.945e-4
-0.129, -6.948e-4
-0.130, -6.950e-4
-0.131, -6.952e-4
-0.132, -6.955e-4
-0.133, -6.957e-4
-0.134, -6.960e-4
-0.135, -6.962e-4
-0.136, -6.964e-4
-0.137, -6.966e-4
-0.138, -6.969e-4
-0.139, -6.971e-4
-0.140, -6.973e-4
-0.141, -6.975e-4
-0.142, -6.977e-4
-0.143, -6.979e-4
-0.144, -6.981e-4
-0.145, -6.983e-4
-0.146, -6.985e-4
-0.147, -6.987e-4
-0.148, -6.989e-4
-0.149, -6.991e-4
-0.150, -6.993e-4
-0.151, -6.995e-4
-0.152, -6.997e-4
-0.153, -6.999e-4
-0.154, -7.001e-4
-0.155, -7.003e-4
-0.156, -7.005e-4
-0.157, -7.007e-4
-0.158, -7.008e-4
-0.159, -7.010e-4
-0.160, -7.012e-4
-0.161, -7.014e-4
-0.162, -7.015e-4
-0.163, -7.017e-4
-0.164, -7.018e-4
-0.165, -7.020e-4
-0.166, -7.022e-4
-0.167, -7.023e-4
-0.168, -7.025e-4
-0.169, -7.026e-4
-0.170, -7.028e-4
-0.171, -7.029e-4
-0.172, -7.031e-4
-0.173, -7.032e-4
-0.174, -7.034e-4
-0.175, -7.035e-4
-0.176, -7.036e-4
-0.177, -7.038e-4
-0.178, -7.039e-4
-0.179, -7.040e-4
-0.180, -7.042e-4
-0.181, -7.043e-4
-0.182, -7.044e-4
-0.183, -7.045e-4
-0.184, -7.047e-4
-0.185, -7.048e-4
-0.186, -7.049e-4
-0.187, -7.050e-4
-0.188, -7.052e-4
-0.189, -7.053e-4
-0.190, -7.054e-4
-0.191, -7.055e-4
-0.192, -7.056e-4
-0.193, -7.057e-4
-0.194, -7.058e-4
-0.195, -7.059e-4
-0.196, -7.060e-4
-0.197, -7.061e-4
-0.198, -7.062e-4
-0.199, -7.063e-4
-0.200, -7.064e-4
-0.201, -7.065e-4
-0.202, -7.066e-4
-0.203, -7.067e-4
-0.204, -7.067e-4
-0.205, -7.068e-4
-0.206, -7.069e-4
-0.207, -7.070e-4
-0.208, -7.071e-4
-0.209, -7.072e-4
-0.210, -7.073e-4
-0.211, -7.073e-4
-0.212, -7.074e-4
-0.213, -7.075e-4
-0.214, -7.076e-4
-0.215, -7.076e-4
-0.216, -7.077e-4
-0.217, -7.078e-4
-0.218, -7.078e-4
-0.219, -7.079e-4
-0.220, -7.080e-4
-0.221, -7.080e-4
-0.222, -7.081e-4
-0.223, -7.081e-4
-0.224, -7.082e-4
-0.225, -7.083e-4
-0.226, -7.083e-4
-0.227, -7.084e-4
-0.228, -7.084e-4
-0.229, -7.084e-4
-0.230, -7.085e-4
-0.231, -7.085e-4
-0.232, -7.086e-4
-0.233, -7.086e-4
-0.234, -7.086e-4
-0.235, -7.087e-4
-0.236, -7.087e-4
-0.237, -7.087e-4
-0.238, -7.088e-4
-0.239, -7.088e-4
-0.240, -7.088e-4
-0.241, -7.088e-4
-0.242, -7.088e-4
-0.243, -7.089e-4
-0.244, -7.089e-4
-0.245, -7.089e-4
-0.246, -7.089e-4
-0.247, -7.089e-4
-0.248, -7.089e-4
-0.249, -7.089e-4
-0.250, -7.089e-4
-0.251, -7.089e-4
-0.252, -7.089e-4
-0.253, -7.089e-4
-0.254, -7.089e-4
-0.255, -7.089e-4
-0.256, -7.089e-4
-0.257, -7.089e-4
-0.258, -7.089e-4
-0.259, -7.089e-4
-0.260, -7.088e-4
-0.261, -7.088e-4
-0.262, -7.088e-4
-0.263, -7.088e-4
-0.264, -7.087e-4
-0.265, -7.087e-4
-0.266, -7.087e-4
-0.267, -7.086e-4
-0.268, -7.086e-4
-0.269, -7.086e-4
-0.270, -7.085e-4
-0.271, -7.085e-4
-0.272, -7.085e-4
-0.273, -7.084e-4
-0.274, -7.084e-4
-0.275, -7.083e-4
-0.276, -7.083e-4
-0.277, -7.082e-4
-0.278, -7.082e-4
-0.279, -7.081e-4
-0.280, -7.081e-4
