Jan. 17, 2025   13:40:24
0.739, 1.864e-4
0.738, 1.825e-4
0.737, 1.786e-4
0.736, 1.748e-4
0.735, 1.709e-4
0.734, 1.671e-4
0.733, 1.633e-4
0.732, 1.596e-4
0.731, 1.558e-4
0.730, 1.520e-4
0.729, 1.482e-4
0.728, 1.445e-4
0.727, 1.408e-4
0.726, 1.372e-4
0.725, 1.335e-4
0.724, 1.299e-4
0.723, 1.263e-4
0.722, 1.227e-4
0.721, 1.191e-4
0.720, 1.156e-4
0.719, 1.120e-4
0.718, 1.085e-4
0.717, 1.049e-4
0.716, 1.014e-4
0.715, 9.795e-5
0.714, 9.451e-5
0.713, 9.109e-5
0.712, 8.769e-5
0.711, 8.430e-5
0.710, 8.092e-5
0.709, 7.754e-5
0.708, 7.419e-5
0.707, 7.084e-5
0.706, 6.752e-5
0.705, 6.423e-5
0.704, 6.095e-5
0.703, 5.770e-5
0.702, 5.447e-5
0.701, 5.126e-5
0.700, 4.807e-5
0.699, 4.489e-5
0.698, 4.172e-5
0.697, 3.859e-5
0.696, 3.549e-5
0.695, 3.242e-5
0.694, 2.935e-5
0.693, 2.628e-5
0.692, 2.322e-5
0.691, 2.016e-5
0.690, 1.712e-5
0.689, 1.411e-5
0.688, 1.111e-5
0.687, 8.133e-6
0.686, 5.172e-6
0.685, 2.218e-6
0.684, -7.315e-7
0.683, -3.672e-6
0.682, -6.604e-6
0.681, -9.515e-6
0.680, -1.240e-5
0.679, -1.526e-5
0.678, -1.811e-5
0.677, -2.093e-5
0.676, -2.372e-5
0.675, -2.651e-5
0.674, -2.927e-5
0.673, -3.203e-5
0.672, -3.478e-5
0.671, -3.751e-5
0.670, -4.024e-5
0.669, -4.295e-5
0.668, -4.564e-5
0.667, -4.832e-5
0.666, -5.099e-5
0.665, -5.365e-5
0.664, -5.628e-5
0.663, -5.890e-5
0.662, -6.149e-5
0.661, -6.406e-5
0.660, -6.662e-5
0.659, -6.917e-5
0.658, -7.171e-5
0.657, -7.423e-5
0.656, -7.674e-5
0.655, -7.923e-5
0.654, -8.172e-5
0.653, -8.421e-5
0.652, -8.670e-5
0.651, -8.916e-5
0.650, -9.159e-5
0.649, -9.400e-5
0.648, -9.639e-5
0.647, -9.877e-5
0.646, -1.011e-4
0.645, -1.035e-4
0.644, -1.058e-4
0.643, -1.081e-4
0.642, -1.104e-4
0.641, -1.127e-4
0.640, -1.150e-4
0.639, -1.173e-4
0.638, -1.195e-4
0.637, -1.218e-4
0.636, -1.239e-4
0.635, -1.261e-4
0.634, -1.283e-4
0.633, -1.305e-4
0.632, -1.327e-4
0.631, -1.349e-4
0.630, -1.370e-4
0.629, -1.391e-4
0.628, -1.413e-4
0.627, -1.434e-4
0.626, -1.455e-4
0.625, -1.476e-4
0.624, -1.496e-4
0.623, -1.517e-4
0.622, -1.537e-4
0.621, -1.558e-4
0.620, -1.578e-4
0.619, -1.598e-4
0.618, -1.619e-4
0.617, -1.639e-4
0.616, -1.659e-4
0.615, -1.679e-4
0.614, -1.698e-4
0.613, -1.718e-4
0.612, -1.737e-4
0.611, -1.756e-4
0.610, -1.775e-4
0.609, -1.794e-4
0.608, -1.813e-4
0.607, -1.832e-4
0.606, -1.851e-4
0.605, -1.869e-4
0.604, -1.887e-4
0.603, -1.906e-4
0.602, -1.924e-4
0.601, -1.942e-4
0.600, -1.960e-4
0.599, -1.978e-4
0.598, -1.995e-4
0.597, -2.013e-4
0.596, -2.031e-4
0.595, -2.048e-4
0.594, -2.066e-4
0.593, -2.083e-4
0.592, -2.100e-4
0.591, -2.117e-4
0.590, -2.134e-4
0.589, -2.150e-4
0.588, -2.167e-4
0.587, -2.184e-4
0.586, -2.200e-4
0.585, -2.216e-4
0.584, -2.232e-4
0.583, -2.249e-4
0.582, -2.265e-4
0.581, -2.281e-4
0.580, -2.297e-4
0.579, -2.312e-4
0.578, -2.328e-4
0.577, -2.343e-4
0.576, -2.359e-4
0.575, -2.374e-4
0.574, -2.389e-4
0.573, -2.405e-4
0.572, -2.420e-4
0.571, -2.435e-4
0.570, -2.450e-4
0.569, -2.465e-4
0.568, -2.480e-4
0.567, -2.494e-4
0.566, -2.509e-4
0.565, -2.523e-4
0.564, -2.538e-4
0.563, -2.552e-4
0.562, -2.566e-4
0.561, -2.580e-4
0.560, -2.594e-4
0.559, -2.608e-4
0.558, -2.622e-4
0.557, -2.636e-4
0.556, -2.649e-4
0.555, -2.663e-4
0.554, -2.676e-4
0.553, -2.689e-4
0.552, -2.703e-4
0.551, -2.716e-4
0.550, -2.729e-4
0.549, -2.742e-4
0.548, -2.755e-4
0.547, -2.768e-4
0.546, -2.781e-4
0.545, -2.793e-4
0.544, -2.805e-4
0.543, -2.817e-4
0.542, -2.830e-4
0.541, -2.842e-4
0.540, -2.854e-4
0.539, -2.866e-4
0.538, -2.879e-4
0.537, -2.891e-4
0.536, -2.903e-4
0.535, -2.915e-4
0.534, -2.926e-4
0.533, -2.938e-4
0.532, -2.950e-4
0.531, -2.961e-4
0.530, -2.973e-4
0.529, -2.984e-4
0.528, -2.996e-4
0.527, -3.007e-4
0.526, -3.018e-4
0.525, -3.029e-4
0.524, -3.040e-4
0.523, -3.051e-4
0.522, -3.062e-4
0.521, -3.073e-4
0.520, -3.083e-4
0.519, -3.094e-4
0.518, -3.105e-4
0.517, -3.116e-4
0.516, -3.126e-4
0.515, -3.136e-4
0.514, -3.147e-4
0.513, -3.157e-4
0.512, -3.168e-4
0.511, -3.178e-4
0.510, -3.188e-4
0.509, -3.199e-4
0.508, -3.209e-4
0.507, -3.219e-4
0.506, -3.229e-4
0.505, -3.239e-4
0.504, -3.248e-4
0.503, -3.258e-4
0.502, -3.267e-4
0.501, -3.277e-4
0.500, -3.286e-4
0.499, -3.295e-4
0.498, -3.305e-4
0.497, -3.314e-4
0.496, -3.323e-4
0.495, -3.332e-4
0.494, -3.341e-4
0.493, -3.350e-4
0.492, -3.359e-4
0.491, -3.368e-4
0.490, -3.376e-4
0.489, -3.385e-4
0.488, -3.394e-4
0.487, -3.402e-4
0.486, -3.411e-4
0.485, -3.419e-4
0.484, -3.428e-4
0.483, -3.436e-4
0.482, -3.444e-4
0.481, -3.453e-4
0.480, -3.461e-4
0.479, -3.469e-4
0.478, -3.477e-4
0.477, -3.485e-4
0.476, -3.493e-4
0.475, -3.501e-4
0.474, -3.509e-4
0.473, -3.516e-4
0.472, -3.524e-4
0.471, -3.532e-4
0.470, -3.540e-4
0.469, -3.547e-4
0.468, -3.555e-4
0.467, -3.562e-4
0.466, -3.570e-4
0.465, -3.577e-4
0.464, -3.584e-4
0.463, -3.592e-4
0.462, -3.599e-4
0.461, -3.606e-4
0.460, -3.613e-4
0.459, -3.621e-4
0.458, -3.628e-4
0.457, -3.634e-4
0.456, -3.641e-4
0.455, -3.648e-4
0.454, -3.655e-4
0.453, -3.661e-4
0.452, -3.668e-4
0.451, -3.675e-4
0.450, -3.681e-4
0.449, -3.688e-4
0.448, -3.694e-4
0.447, -3.700e-4
0.446, -3.707e-4
0.445, -3.713e-4
0.444, -3.720e-4
0.443, -3.726e-4
0.442, -3.732e-4
0.441, -3.738e-4
0.440, -3.744e-4
0.439, -3.750e-4
0.438, -3.756e-4
0.437, -3.762e-4
0.436, -3.768e-4
0.435, -3.774e-4
0.434, -3.779e-4
0.433, -3.785e-4
0.432, -3.791e-4
0.431, -3.796e-4
0.430, -3.802e-4
0.429, -3.807e-4
0.428, -3.813e-4
0.427, -3.818e-4
0.426, -3.824e-4
0.425, -3.829e-4
0.424, -3.834e-4
0.423, -3.840e-4
0.422, -3.845e-4
0.421, -3.850e-4
0.420, -3.855e-4
0.419, -3.860e-4
0.418, -3.866e-4
0.417, -3.871e-4
0.416, -3.876e-4
0.415, -3.881e-4
0.414, -3.885e-4
0.413, -3.890e-4
0.412, -3.895e-4
0.411, -3.900e-4
0.410, -3.906e-4
0.409, -3.911e-4
0.408, -3.916e-4
0.407, -3.921e-4
0.406, -3.926e-4
0.405, -3.930e-4
0.404, -3.935e-4
0.403, -3.939e-4
0.402, -3.943e-4
0.401, -3.948e-4
0.400, -3.952e-4
0.399, -3.957e-4
0.398, -3.961e-4
0.397, -3.965e-4
0.396, -3.970e-4
0.395, -3.974e-4
0.394, -3.978e-4
0.393, -3.982e-4
0.392, -3.987e-4
0.391, -3.991e-4
0.390, -3.995e-4
0.389, -3.999e-4
0.388, -4.004e-4
0.387, -4.008e-4
0.386, -4.012e-4
0.385, -4.016e-4
0.384, -4.020e-4
0.383, -4.024e-4
0.382, -4.027e-4
0.381, -4.031e-4
0.380, -4.035e-4
0.379, -4.039e-4
0.378, -4.043e-4
0.377, -4.046e-4
0.376, -4.050e-4
0.375, -4.054e-4
0.374, -4.057e-4
0.373, -4.061e-4
0.372, -4.065e-4
0.371, -4.068e-4
0.370, -4.072e-4
0.369, -4.075e-4
0.368, -4.079e-4
0.367, -4.082e-4
0.366, -4.086e-4
0.365, -4.089e-4
0.364, -4.093e-4
0.363, -4.096e-4
0.362, -4.100e-4
0.361, -4.103e-4
0.360, -4.107e-4
0.359, -4.110e-4
0.358, -4.113e-4
0.357, -4.117e-4
0.356, -4.120e-4
0.355, -4.123e-4
0.354, -4.126e-4
0.353, -4.130e-4
0.352, -4.133e-4
0.351, -4.136e-4
0.350, -4.139e-4
0.349, -4.142e-4
0.348, -4.145e-4
0.347, -4.149e-4
0.346, -4.152e-4
0.345, -4.155e-4
0.344, -4.158e-4
0.343, -4.161e-4
0.342, -4.164e-4
0.341, -4.167e-4
0.340, -4.171e-4
0.339, -4.174e-4
0.338, -4.177e-4
0.337, -4.180e-4
0.336, -4.183e-4
0.335, -4.186e-4
0.334, -4.189e-4
0.333, -4.192e-4
0.332, -4.195e-4
0.331, -4.198e-4
0.330, -4.201e-4
0.329, -4.204e-4
0.328, -4.207e-4
0.327, -4.210e-4
0.326, -4.213e-4
0.325, -4.216e-4
0.324, -4.219e-4
0.323, -4.222e-4
0.322, -4.225e-4
0.321, -4.228e-4
0.320, -4.231e-4
0.319, -4.234e-4
0.318, -4.237e-4
0.317, -4.240e-4
0.316, -4.242e-4
0.315, -4.245e-4
0.314, -4.248e-4
0.313, -4.251e-4
0.312, -4.254e-4
0.311, -4.257e-4
0.310, -4.260e-4
0.309, -4.263e-4
0.308, -4.266e-4
0.307, -4.269e-4
0.306, -4.272e-4
0.305, -4.276e-4
0.304, -4.279e-4
0.303, -4.282e-4
0.302, -4.285e-4
0.301, -4.288e-4
0.300, -4.291e-4
0.299, -4.294e-4
0.298, -4.297e-4
0.297, -4.300e-4
0.296, -4.303e-4
0.295, -4.306e-4
0.294, -4.309e-4
0.293, -4.312e-4
0.292, -4.315e-4
0.291, -4.318e-4
0.290, -4.321e-4
0.289, -4.324e-4
0.288, -4.327e-4
0.287, -4.330e-4
0.286, -4.333e-4
0.285, -4.337e-4
0.284, -4.340e-4
0.283, -4.343e-4
0.282, -4.346e-4
0.281, -4.349e-4
0.280, -4.352e-4
0.279, -4.356e-4
0.278, -4.359e-4
0.277, -4.362e-4
0.276, -4.365e-4
0.275, -4.368e-4
0.274, -4.372e-4
0.273, -4.374e-4
0.272, -4.377e-4
0.271, -4.380e-4
0.270, -4.383e-4
0.269, -4.387e-4
0.268, -4.390e-4
0.267, -4.393e-4
0.266, -4.397e-4
0.265, -4.400e-4
0.264, -4.404e-4
0.263, -4.407e-4
0.262, -4.411e-4
0.261, -4.414e-4
0.260, -4.417e-4
0.259, -4.421e-4
0.258, -4.424e-4
0.257, -4.428e-4
0.256, -4.432e-4
0.255, -4.435e-4
0.254, -4.439e-4
0.253, -4.442e-4
0.252, -4.446e-4
0.251, -4.450e-4
0.250, -4.454e-4
0.249, -4.457e-4
0.248, -4.461e-4
0.247, -4.465e-4
0.246, -4.468e-4
0.245, -4.472e-4
0.244, -4.476e-4
0.243, -4.480e-4
0.242, -4.484e-4
0.241, -4.488e-4
0.240, -4.492e-4
0.239, -4.495e-4
0.238, -4.499e-4
0.237, -4.503e-4
0.236, -4.507e-4
0.235, -4.511e-4
0.234, -4.515e-4
0.233, -4.519e-4
0.232, -4.523e-4
0.231, -4.527e-4
0.230, -4.532e-4
0.229, -4.536e-4
0.228, -4.540e-4
0.227, -4.544e-4
0.226, -4.548e-4
0.225, -4.552e-4
0.224, -4.557e-4
0.223, -4.561e-4
0.222, -4.565e-4
0.221, -4.570e-4
0.220, -4.574e-4
0.219, -4.578e-4
0.218, -4.583e-4
0.217, -4.587e-4
0.216, -4.592e-4
0.215, -4.596e-4
0.214, -4.600e-4
0.213, -4.605e-4
0.212, -4.610e-4
0.211, -4.614e-4
0.210, -4.619e-4
0.209, -4.623e-4
0.208, -4.628e-4
0.207, -4.633e-4
0.206, -4.637e-4
0.205, -4.642e-4
0.204, -4.647e-4
0.203, -4.652e-4
0.202, -4.656e-4
0.201, -4.661e-4
0.200, -4.666e-4
0.199, -4.671e-4
0.198, -4.676e-4
0.197, -4.681e-4
0.196, -4.686e-4
0.195, -4.691e-4
0.194, -4.696e-4
0.193, -4.701e-4
0.192, -4.706e-4
0.191, -4.711e-4
0.190, -4.716e-4
0.189, -4.721e-4
0.188, -4.726e-4
0.187, -4.731e-4
0.186, -4.737e-4
0.185, -4.742e-4
0.184, -4.747e-4
0.183, -4.752e-4
0.182, -4.757e-4
0.181, -4.763e-4
0.180, -4.768e-4
0.179, -4.773e-4
0.178, -4.779e-4
0.177, -4.785e-4
0.176, -4.790e-4
0.175, -4.796e-4
0.174, -4.801e-4
0.173, -4.807e-4
0.172, -4.812e-4
0.171, -4.817e-4
0.170, -4.823e-4
0.169, -4.828e-4
0.168, -4.834e-4
0.167, -4.839e-4
0.166, -4.845e-4
0.165, -4.851e-4
0.164, -4.856e-4
0.163, -4.862e-4
0.162, -4.868e-4
0.161, -4.873e-4
0.160, -4.879e-4
0.159, -4.885e-4
0.158, -4.891e-4
0.157, -4.896e-4
0.156, -4.902e-4
0.155, -4.907e-4
0.154, -4.913e-4
0.153, -4.919e-4
0.152, -4.925e-4
0.151, -4.931e-4
0.150, -4.936e-4
0.149, -4.942e-4
0.148, -4.948e-4
0.147, -4.954e-4
0.146, -4.960e-4
0.145, -4.966e-4
0.144, -4.972e-4
0.143, -4.978e-4
0.142, -4.983e-4
0.141, -4.989e-4
0.140, -4.996e-4
0.139, -5.002e-4
0.138, -5.008e-4
0.137, -5.013e-4
0.136, -5.019e-4
0.135, -5.025e-4
0.134, -5.031e-4
0.133, -5.037e-4
0.132, -5.043e-4
0.131, -5.049e-4
0.130, -5.055e-4
0.129, -5.061e-4
0.128, -5.068e-4
0.127, -5.074e-4
0.126, -5.080e-4
0.125, -5.086e-4
0.124, -5.092e-4
0.123, -5.098e-4
0.122, -5.104e-4
0.121, -5.111e-4
0.120, -5.117e-4
0.119, -5.123e-4
0.118, -5.129e-4
0.117, -5.135e-4
0.116, -5.141e-4
0.115, -5.147e-4
0.114, -5.153e-4
0.113, -5.160e-4
0.112, -5.166e-4
0.111, -5.172e-4
0.110, -5.178e-4
0.109, -5.184e-4
0.108, -5.191e-4
0.107, -5.197e-4
0.106, -5.203e-4
0.105, -5.209e-4
0.104, -5.215e-4
0.103, -5.222e-4
0.102, -5.228e-4
0.101, -5.234e-4
0.100, -5.241e-4
0.099, -5.247e-4
0.098, -5.253e-4
0.097, -5.259e-4
0.096, -5.265e-4
0.095, -5.272e-4
0.094, -5.278e-4
0.093, -5.284e-4
0.092, -5.290e-4
0.091, -5.296e-4
0.090, -5.302e-4
0.089, -5.308e-4
0.088, -5.314e-4
0.087, -5.320e-4
0.086, -5.327e-4
0.085, -5.333e-4
0.084, -5.339e-4
0.083, -5.345e-4
0.082, -5.351e-4
0.081, -5.357e-4
0.080, -5.363e-4
0.079, -5.369e-4
0.078, -5.375e-4
0.077, -5.381e-4
0.076, -5.387e-4
0.075, -5.393e-4
0.074, -5.400e-4
0.073, -5.406e-4
0.072, -5.412e-4
0.071, -5.418e-4
0.070, -5.424e-4
0.069, -5.430e-4
0.068, -5.436e-4
0.067, -5.442e-4
0.066, -5.448e-4
0.065, -5.454e-4
0.064, -5.460e-4
0.063, -5.466e-4
0.062, -5.472e-4
0.061, -5.478e-4
0.060, -5.484e-4
0.059, -5.490e-4
0.058, -5.496e-4
0.057, -5.502e-4
0.056, -5.508e-4
0.055, -5.514e-4
0.054, -5.520e-4
0.053, -5.526e-4
0.052, -5.532e-4
0.051, -5.538e-4
0.050, -5.544e-4
0.049, -5.550e-4
0.048, -5.556e-4
0.047, -5.562e-4
0.046, -5.568e-4
0.045, -5.574e-4
0.044, -5.580e-4
0.043, -5.586e-4
0.042, -5.592e-4
0.041, -5.598e-4
0.040, -5.604e-4
0.039, -5.610e-4
0.038, -5.615e-4
0.037, -5.621e-4
0.036, -5.627e-4
0.035, -5.633e-4
0.034, -5.639e-4
0.033, -5.644e-4
0.032, -5.650e-4
0.031, -5.656e-4
0.030, -5.662e-4
0.029, -5.668e-4
0.028, -5.673e-4
0.027, -5.679e-4
0.026, -5.685e-4
0.025, -5.691e-4
0.024, -5.696e-4
0.023, -5.702e-4
0.022, -5.708e-4
0.021, -5.713e-4
0.020, -5.719e-4
0.019, -5.725e-4
0.018, -5.731e-4
0.017, -5.736e-4
0.016, -5.742e-4
0.015, -5.747e-4
0.014, -5.753e-4
0.013, -5.759e-4
0.012, -5.764e-4
0.011, -5.770e-4
0.010, -5.776e-4
0.009, -5.781e-4
0.008, -5.787e-4
0.007, -5.792e-4
0.006, -5.798e-4
0.005, -5.803e-4
0.004, -5.809e-4
0.003, -5.814e-4
0.002, -5.820e-4
0.001, -5.826e-4
0.000, -5.832e-4
-0.001, -5.838e-4
-0.002, -5.843e-4
-0.003, -5.849e-4
-0.004, -5.854e-4
-0.005, -5.860e-4
-0.006, -5.865e-4
-0.007, -5.871e-4
-0.008, -5.876e-4
-0.009, -5.882e-4
-0.010, -5.887e-4
-0.011, -5.893e-4
-0.012, -5.898e-4
-0.013, -5.903e-4
-0.014, -5.909e-4
-0.015, -5.914e-4
-0.016, -5.920e-4
-0.017, -5.925e-4
-0.018, -5.930e-4
-0.019, -5.935e-4
-0.020, -5.940e-4
-0.021, -5.945e-4
-0.022, -5.950e-4
-0.023, -5.955e-4
-0.024, -5.960e-4
-0.025, -5.966e-4
-0.026, -5.971e-4
-0.027, -5.976e-4
-0.028, -5.981e-4
-0.029, -5.987e-4
-0.030, -5.992e-4
-0.031, -5.997e-4
-0.032, -6.002e-4
-0.033, -6.007e-4
-0.034, -6.013e-4
-0.035, -6.018e-4
-0.036, -6.023e-4
-0.037, -6.028e-4
-0.038, -6.033e-4
-0.039, -6.038e-4
-0.040, -6.043e-4
-0.041, -6.048e-4
-0.042, -6.053e-4
-0.043, -6.058e-4
-0.044, -6.063e-4
-0.045, -6.069e-4
-0.046, -6.074e-4
-0.047, -6.078e-4
-0.048, -6.083e-4
-0.049, -6.088e-4
-0.050, -6.093e-4
-0.051, -6.098e-4
-0.052, -6.103e-4
-0.053, -6.108e-4
-0.054, -6.113e-4
-0.055, -6.118e-4
-0.056, -6.123e-4
-0.057, -6.128e-4
-0.058, -6.133e-4
-0.059, -6.138e-4
-0.060, -6.142e-4
-0.061, -6.147e-4
-0.062, -6.152e-4
-0.063, -6.156e-4
-0.064, -6.161e-4
-0.065, -6.166e-4
-0.066, -6.171e-4
-0.067, -6.176e-4
-0.068, -6.180e-4
-0.069, -6.185e-4
-0.070, -6.190e-4
-0.071, -6.194e-4
-0.072, -6.199e-4
-0.073, -6.203e-4
-0.074, -6.208e-4
-0.075, -6.213e-4
-0.076, -6.217e-4
-0.077, -6.222e-4
-0.078, -6.226e-4
-0.079, -6.231e-4
-0.080, -6.235e-4
-0.081, -6.240e-4
-0.082, -6.244e-4
-0.083, -6.249e-4
-0.084, -6.253e-4
-0.085, -6.258e-4
-0.086, -6.262e-4
-0.087, -6.267e-4
-0.088, -6.271e-4
-0.089, -6.275e-4
-0.090, -6.280e-4
-0.091, -6.284e-4
-0.092, -6.289e-4
-0.093, -6.293e-4
-0.094, -6.297e-4
-0.095, -6.302e-4
-0.096, -6.306e-4
-0.097, -6.310e-4
-0.098, -6.314e-4
-0.099, -6.318e-4
-0.100, -6.323e-4
-0.101, -6.327e-4
-0.102, -6.331e-4
-0.103, -6.336e-4
-0.104, -6.340e-4
-0.105, -6.344e-4
-0.106, -6.349e-4
-0.107, -6.353e-4
-0.108, -6.357e-4
-0.109, -6.361e-4
-0.110, -6.365e-4
-0.111, -6.369e-4
-0.112, -6.373e-4
-0.113, -6.377e-4
-0.114, -6.381e-4
-0.115, -6.385e-4
-0.116, -6.389e-4
-0.117, -6.393e-4
-0.118, -6.396e-4
-0.119, -6.400e-4
-0.120, -6.404e-4
-0.121, -6.407e-4
-0.122, -6.411e-4
-0.123, -6.415e-4
-0.124, -6.419e-4
-0.125, -6.422e-4
-0.126, -6.426e-4
-0.127, -6.429e-4
-0.128, -6.433e-4
-0.129, -6.437e-4
-0.130, -6.440e-4
-0.131, -6.444e-4
-0.132, -6.447e-4
-0.133, -6.450e-4
-0.134, -6.454e-4
-0.135, -6.457e-4
-0.136, -6.461e-4
-0.137, -6.464e-4
-0.138, -6.467e-4
-0.139, -6.471e-4
-0.140, -6.474e-4
-0.141, -6.477e-4
-0.142, -6.480e-4
-0.143, -6.483e-4
-0.144, -6.487e-4
-0.145, -6.490e-4
-0.146, -6.493e-4
-0.147, -6.496e-4
-0.148, -6.499e-4
-0.149, -6.502e-4
-0.150, -6.505e-4
-0.151, -6.508e-4
-0.152, -6.511e-4
-0.153, -6.514e-4
-0.154, -6.517e-4
-0.155, -6.520e-4
-0.156, -6.523e-4
-0.157, -6.526e-4
-0.158, -6.529e-4
-0.159, -6.532e-4
-0.160, -6.535e-4
-0.161, -6.538e-4
-0.162, -6.540e-4
-0.163, -6.543e-4
-0.164, -6.546e-4
-0.165, -6.549e-4
-0.166, -6.551e-4
-0.167, -6.554e-4
-0.168, -6.557e-4
-0.169, -6.559e-4
-0.170, -6.562e-4
-0.171, -6.565e-4
-0.172, -6.567e-4
-0.173, -6.570e-4
-0.174, -6.573e-4
-0.175, -6.575e-4
-0.176, -6.578e-4
-0.177, -6.580e-4
-0.178, -6.583e-4
-0.179, -6.586e-4
-0.180, -6.588e-4
-0.181, -6.590e-4
-0.182, -6.593e-4
-0.183, -6.595e-4
-0.184, -6.598e-4
-0.185, -6.600e-4
-0.186, -6.603e-4
-0.187, -6.605e-4
-0.188, -6.608e-4
-0.189, -6.610e-4
-0.190, -6.612e-4
-0.191, -6.615e-4
-0.192, -6.617e-4
-0.193, -6.619e-4
-0.194, -6.622e-4
-0.195, -6.624e-4
-0.196, -6.627e-4
-0.197, -6.629e-4
-0.198, -6.631e-4
-0.199, -6.633e-4
-0.200, -6.636e-4
-0.201, -6.638e-4
-0.202, -6.640e-4
-0.203, -6.642e-4
-0.204, -6.645e-4
-0.205, -6.647e-4
-0.206, -6.649e-4
-0.207, -6.652e-4
-0.208, -6.654e-4
-0.209, -6.656e-4
-0.210, -6.658e-4
-0.211, -6.661e-4
-0.212, -6.663e-4
-0.213, -6.665e-4
-0.214, -6.667e-4
-0.215, -6.669e-4
-0.216, -6.671e-4
-0.217, -6.673e-4
-0.218, -6.676e-4
-0.219, -6.678e-4
-0.220, -6.680e-4
-0.221, -6.682e-4
-0.222, -6.684e-4
-0.223, -6.686e-4
-0.224, -6.688e-4
-0.225, -6.691e-4
-0.226, -6.693e-4
-0.227, -6.695e-4
-0.228, -6.697e-4
-0.229, -6.699e-4
-0.230, -6.701e-4
-0.231, -6.703e-4
-0.232, -6.705e-4
-0.233, -6.707e-4
-0.234, -6.709e-4
-0.235, -6.711e-4
-0.236, -6.713e-4
-0.237, -6.715e-4
-0.238, -6.717e-4
-0.239, -6.719e-4
-0.240, -6.721e-4
-0.241, -6.723e-4
-0.242, -6.725e-4
-0.243, -6.728e-4
-0.244, -6.730e-4
-0.245, -6.732e-4
-0.246, -6.734e-4
-0.247, -6.736e-4
-0.248, -6.738e-4
-0.249, -6.740e-4
-0.250, -6.742e-4
-0.251, -6.744e-4
-0.252, -6.746e-4
-0.253, -6.748e-4
-0.254, -6.750e-4
-0.255, -6.752e-4
-0.256, -6.754e-4
-0.257, -6.756e-4
-0.258, -6.758e-4
-0.259, -6.760e-4
-0.260, -6.762e-4
-0.261, -6.764e-4
-0.262, -6.766e-4
-0.263, -6.768e-4
-0.264, -6.770e-4
-0.265, -6.772e-4
-0.266, -6.774e-4
-0.267, -6.776e-4
-0.268, -6.778e-4
-0.269, -6.781e-4
-0.270, -6.783e-4
-0.271, -6.785e-4
-0.272, -6.787e-4
-0.273, -6.789e-4
-0.274, -6.791e-4
-0.275, -6.793e-4
-0.276, -6.795e-4
-0.277, -6.797e-4
-0.278, -6.799e-4
-0.279, -6.801e-4
-0.280, -6.803e-4
-0.281, -6.805e-4
-0.282, -6.807e-4
-0.283, -6.810e-4
-0.284, -6.812e-4
-0.285, -6.814e-4
-0.286, -6.816e-4
-0.287, -6.818e-4
-0.288, -6.821e-4
-0.289, -6.823e-4
-0.290, -6.825e-4
-0.291, -6.827e-4
-0.292, -6.829e-4
-0.293, -6.832e-4
-0.294, -6.834e-4
-0.295, -6.836e-4
-0.296, -6.838e-4
-0.297, -6.840e-4
-0.298, -6.843e-4
-0.299, -6.845e-4
-0.300, -6.847e-4
-0.301, -6.850e-4
-0.302, -6.852e-4
-0.303, -6.854e-4
-0.304, -6.856e-4
-0.305, -6.859e-4
